geoid,avgbrdist,medbrdist,stdbrdist,count,areasqft,countbldg,bldgareaft,pctcbbldg,dist_bldg_hght,avgbrdist_meters,avgbrdist_logtran
3.6061E+14,8.421736683,0,22.22947947,6109,127312,32,49849.79813,0.391556162,6.990467,2.566945341,185501.095
3.6061E+14,7.236221501,0,22.19716508,11682,57115.9,1,22193.89041,0.388576393,4.701991,2.205600313,159388.3854
3.6061E+14,6.795768719,0,20.8936364,32355,119432,32,60745.04921,0.508616193,9.529822,2.071350306,149686.7672
3.6061E+14,10.17821963,0,22.64215649,15906,153012,51,87774.22022,0.573642722,10.270662,3.102321342,224190.2064
3.6061E+14,23.5342801,7.252432513,35.31659537,50018,147868,5,88444.35378,0.598130453,66.294743,7.173248574,518377.0156
3.6061E+14,8.075845001,0,23.90467094,8455,119407,13,54636.74027,0.457567314,10.122938,2.461517556,177882.3237
3.6061E+14,6.345642555,0,18.98645039,84718,129934,32,57662.57673,0.443783588,7.47711,1.934151851,139772.0787
3.6061E+14,17.33304851,1.275195173,28.81899805,58832,119803,13,57112.70888,0.476721859,16.622102,5.283113187,381785.8002
3.6061E+14,8.332631756,0,21.28225293,83173,89149.1,14,47247.72157,0.529985402,12.587712,2.539786159,183538.4284
3.6061E+14,6.985569257,0,20.68003945,36130,210990,38,76120.43628,0.36077746,6.819637,2.12920151,153867.4023
3.6061E+14,6.321986993,0,20.11585364,38997,187212,18,90529.51921,0.483566861,7.500138,1.926941635,139251.0303
3.6061E+14,7.07689602,0,21.5828604,71187,212401,19,72432.37062,0.341017089,6.987255,2.157037907,155879.0081
3.6061E+14,7.671193829,0,21.26839267,217617,121339,31,48288.94201,0.397967199,12.096633,2.338179879,168969.2885
3.6061E+14,7.248563493,0,21.05333495,118795,198111,36,95523.49771,0.482171599,8.499109,2.209362153,159660.2358
3.6061E+14,8.086486774,0,21.10424246,47371,70463.8,11,38403.71085,0.545013338,12.264245,2.464761169,178116.7243
3.6061E+14,6.886228745,0,20.24900193,194715,171504,45,78470.22781,0.457541677,7.90181,2.098922522,151679.2819
3.6061E+14,7.545227828,0,21.09724173,74148,97718.4,18,41271.56269,0.42235201,7.664287,2.299785442,166194.7027
3.6061E+14,6.435635233,0,20.96665542,189031,216895,41,107012.1797,0.493382419,5.969631,1.961581619,141754.2993
3.6061E+14,7.134162819,0,20.95971545,114314,207856,34,72123.32879,0.346986995,5.870068,2.174492827,157140.3933
